ID,physicalActivity,physicalActivityPerMonth,volunteerParticipation,volunteerPerMonth,ttcTransportation,walkTransportation,driveTransportation,cycleTransportation,taxiTransportation,communityRideTransportation,wheelTransTransportation,friendsTransportation,difficultFinancial,supportSystem,postalCode,employmentStatus,sex,primaryLanguage,ageRange,minAgeRange
6310,,,Never,0,,1,1,,,,,,No,Yes,,Retired,Male,English,75-79 years,75
6311,,,,,,,,,,,,,,,,,,,,
6312,At least once a week,4,At least once a month,1,1,,,,,,,,No,Yes,,Retired,Male,English,80-84 years,80
6313,At least a few times each week,8,Never,0,,1,,,,,,,No,Yes,,Retired,Male,English,75-79 years,75
6314,At least once a week,4,Never,0,1,1,1,,,,,,No,No,,Unable to work for health or other reasons,Female,English,55-59 years,55
6315,At least once a week,4,At least once a day,30,,1,,,1,,,,No,,,,,,,
6316,At least a few times each week,8,Never,0,1,1,,,,,,,,Yes,,Retired,Female,English,75-79 years,75
6317,At least once a day,30,Never,0,,,1,,,,,,No,Yes,,Retired,Male,English,70-74 years,70
6318,At least a few times each week,8,Never,0,,,,,,,,,No,Yes,,Retired,Male,,65-69 years,65
6319,At least once a day,30,Never,0,1,1,1,,,,,,No,No,,Retired,Female,English,60-64 years,60
6320,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,,Retired,Male,English,65-69 years,65
6321,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,,Retired,Female,,75-79 years,75
6322,At least once a week,4,Never,0,,,,,,,,,,,,,,,,
6323,At least a few times each week,8,At least once a month,1,,,,,,,,,,,,,,,,
6324,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,,No,,Employed full-time,Female,,Less than 54 years,54
6325,At least a few times each week,8,At least a few times a week,8,1,1,,,1,,,1,No,Yes,,Retired,Female,Chinese (Mandarin),70-74 years,70
6326,At least once a day,30,At least a few times a week,8,1,1,,,,,,1,,Yes,,Retired,Female,Chinese (Mandarin),75-79 years,75
6327,At least once a day,30,Never,0,1,,,1,,,,1,No,Yes,,Retired,Male,Chinese (Mandarin),80-84 years,80
6328,At least once a day,30,At least a few times a week,8,1,1,,,1,,,,,Yes,,Retired,Female,Chinese (Mandarin),65-69 years,65
6329,At least once a day,30,Never,0,,,1,,,,,,No,,,,,,,
6330,At least a few times each week,8,At least once a week,4,,1,1,,,,,,No,,,,,English,75-79 years,75
6331,At least once a week,4,At least a few times a week,8,,1,1,,,,,,No,No,,Retired,Female,Arabic,65-69 years,65
6332,At least once a day,30,At least a few times a week,8,1,1,,1,,,,1,No,Yes,,Unable to work for health or other reasons,Female,Chinese (Cantonese),80-84 years,80
6333,At least once a day,30,At least once a week,4,1,1,,,,,,,No,Yes,,Retired,Female,,80-84 years,80
6334,At least a few times each week,8,At least once a week,4,,,,1,,,,,No,,,Retired,Male,Chinese (Cantonese),80-84 years,80
6335,,,,,,,,,,,,,No,Yes,,Retired,Male,Chinese (Mandarin),75-79 years,75
6336,At least once a day,30,At least once a month,1,1,,,,,,,,No,Yes,,Retired,Female,Chinese (Cantonese),85 years or older,85
6337,At least once a day,30,At least once a day,30,,,,1,,,,,Yes,Yes,,Retired,Female,Chinese (Cantonese),80-84 years,80
6338,At least once a month,1,Never,0,1,,,,,,1,1,No,Yes,,Retired,Female,Chinese (Mandarin),80-84 years,80
6339,At least once a day,30,At least once a month,1,1,,,,,,,,No,Yes,,Retired,,Chinese (Mandarin),85 years or older,85
6340,At least once a week,4,At least once a month,1,1,,,,,,,,No,Yes,,Retired,Female,Chinese (Cantonese),70-74 years,70
6341,At least once a month,1,,,,,,,,,,,,,,,,,,
6342,At least a few times each week,8,At least once a month,1,1,1,,,1,,,,No,Yes,,Retired,Female,Polish,70-74 years,70
6343,At least a few times each week,8,At least once a week,4,,,,,,,1,1,Yes,Yes,,Unable to work for health or other reasons,Female,English,55-59 years,55
6344,At least once a day,30,At least once a day,30,1,,,,,,,,No,Yes,,Retired,Male,English,65-69 years,65
6345,At least once a day,30,At least once a week,4,1,,,,,,,,No,Yes,,Retired,Female,Vietnamese,65-69 years,65
6346,At least once a week,4,At least once a week,4,1,,,,,,,,Yes,Yes,,Retired,Female,Vietnamese,70-74 years,70
6347,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,Yes,,,Retired,Female,Vietnamese,75-79 years,75
6348,At least once a day,30,At least once a week,4,1,1,,,,,,1,Yes,Yes,,Retired,Female,Chinese (Mandarin),80-84 years,80
6349,At least a few times each week,8,,,,,1,,,,,,No,,,,,English,80-84 years,80
6350,At least once a week,4,At least once a day,30,1,,,,,,1,,,No,,Retired,Female,,80-84 years,80
6351,At least once a day,30,Never,0,1,,,,,,1,,No,Yes,,Retired,Male,,80-84 years,80
6352,At least a few times each week,8,Never,0,1,,,,,,,,,No,,Retired,Female,Chinese (Cantonese),60-64 years,60
6353,At least once a day,30,Never,0,,,1,,,,,,No,Yes,,Employed part-time,Female,English,80-84 years,80
6354,At least once a day,30,Never,0,,,,,,,,1,No,,,,,English,85 years or older,85
6355,At least a few times each week,8,At least once a month,1,1,1,1,1,,,,1,No,Yes,,"Unemployed, looking for work",Male,English,Less than 54 years,54
6356,At least once a month,1,Never,0,,,,,,,,,No,Yes,,Employed part-time,,Chinese (Mandarin),55-59 years,55
6357,At least a few times each week,8,At least once a month,1,,,1,,,,,,Yes,No,,Retired,Female,,70-74 years,70
6358,At least once a day,30,At least once a day,30,1,1,,,,,,1,No,Yes,,Unable to work for health or other reasons,Male,English,65-69 years,65
6359,At least once a day,30,At least once a month,1,1,,1,,,,,,No,Yes,,Employed full-time,Female,English,Less than 54 years,54
6360,At least once a day,30,At least once a day,30,1,,,,,,,,No,Yes,,Employed full-time,Female,Hindi,Less than 54 years,54
6361,At least once a day,30,At least once a month,1,1,,,,,,,,No,,,,,English,80-84 years,80
6362,At least once a week,4,At least once a month,1,1,,,,,,,,Yes,No,,"Unemployed, looking for work",Female,English,Less than 54 years,54
6363,At least a few times each week,8,At least once a month,1,,,1,,,,,,,Yes,,Retired,Female,,75-79 years,75
6364,At least once a day,30,At least once a week,4,,,,,,,,,,Yes,,,,Italian,80-84 years,80
6365,At least once a day,30,At least once a month,1,1,,,,,,,,Yes,Yes,,,Female,,75-79 years,75
6366,Never,0,At least once a week,4,,,,,,,1,,No,,,,,Chinese (Cantonese),80-84 years,80
6367,At least once a day,30,At least a few times a week,8,,,1,,,,,,No,Yes,,Retired,Female,,65-69 years,65
6368,At least once a day,30,Never,0,1,1,,,,,,1,No,Yes,,Retired,Male,Prefer not to answer,65-69 years,65
6369,At least a few times each week,8,At least once a day,30,,,1,,,,,,No,No,,Retired,Female,,65-69 years,65
6370,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,,Retired,Female,Spanish,85 years or older,85
6371,At least once a day,30,Never,0,1,,,,,,,,No,Yes,,,Female,Chinese (Mandarin),65-69 years,65
6372,At least once a week,4,At least once a month,1,1,1,,1,,,,,No,Yes,,,Male,Chinese (Mandarin),65-69 years,65
6373,At least once a week,4,Never,0,,,,,,,1,,No,Yes,,Unable to work for health or other reasons,Male,Bengali,65-69 years,65
6374,At least once a day,30,At least once a week,4,1,1,,,,,,,No,Yes,,Unable to work for health or other reasons,Male,Bengali,55-59 years,55
6375,At least once a day,30,Never,0,1,,,,,,,,No,Yes,,Employed full-time,Male,Bengali,Less than 54 years,54
6376,At least a few times each week,8,At least once a day,30,1,,,,,,,,No,Yes,,Retired,Female,Bengali,60-64 years,60
6377,At least once a day,30,At least once a month,1,1,1,,,,,1,1,Yes,Yes,,Retired,Female,English,70-74 years,70
6378,,,At least a few times a week,8,1,1,1,,,,,,Yes,No,,Retired,Female,English,80-84 years,80
6379,At least once a day,30,At least once a day,30,,1,,,,,,1,Yes,Yes,,Retired,Female,Bengali,55-59 years,55
6380,At least once a day,30,Never,0,,1,,,,,,,No,No,,Unable to work for health or other reasons,Male,English,60-64 years,60
6381,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,,Unable to work for health or other reasons,Male,English,Less than 54 years,54
6382,At least once a day,30,Never,0,,,1,,,,,,No,No,,Retired,Male,English,65-69 years,65
6383,At least a few times each week,8,,,1,1,1,,,,,,,,,,,,,
6384,At least a few times each week,8,At least once a week,4,1,1,,,,,,,Yes,Yes,,Employed full-time,Female,English,55-59 years,55
6385,At least once a week,4,At least once a week,4,,,1,,,,,,No,Yes,,Retired,Female,English,75-79 years,75
6386,At least a few times each week,8,Never,0,1,,1,,,,,,Yes,Yes,,Retired,Female,English,65-69 years,65
6387,At least once a week,4,Never,0,1,,,,,,,,No,,,Retired,Female,English,75-79 years,75
6388,At least once a day,30,Never,0,1,,,,,,,,No,,,,,English,80-84 years,80
6389,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,,Retired,Male,Ukrainian,75-79 years,75
6390,At least once a day,30,At least once a month,1,1,1,1,,,,,,No,Yes,,Retired,Female,English,75-79 years,75
6391,At least once a day,30,Never,0,,1,1,,,,,,No,Yes,,Employed full-time,Male,English,60-64 years,60
6392,Never,0,Never,0,,,,,,,,1,No,Yes,,Retired,Male,French,80-84 years,80
6393,At least once a day,30,Never,0,,,,,,,,1,No,Yes,,Unable to work for health or other reasons,Female,English,85 years or older,85
6394,At least a few times each week,8,At least a few times a week,8,1,1,,,,,,,No,Yes,,Retired,Female,English,70-74 years,70
6395,At least once a day,30,Never,0,,,,,1,,,,No,,,,,Other,85 years or older,85
6396,At least once a day,30,Never,0,,,,,1,,,,,Yes,,Retired,Male,,80-84 years,80
6397,At least once a day,30,At least once a day,30,,,,,,,,1,No,Yes,,Retired,Female,Italian,80-84 years,80
6398,Never,0,Never,0,,,,,1,,,,No,,,Retired,Female,French,85 years or older,85
6399,At least once a day,30,Never,0,1,1,1,1,,,,,No,Yes,,Retired,Female,English,60-64 years,60
6400,At least once a day,30,Never,0,,,1,,,,,,No,Yes,,Employed full-time,Female,ASL,Less than 54 years,54
6401,Never,0,Never,0,,,,,,,1,,No,Yes,,Retired,Female,English,60-64 years,60
6402,At least once a day,30,At least once a month,1,1,1,,1,,,,,Yes,Yes,,Retired,Female,English,65-69 years,65
6403,At least once a day,30,At least once a week,4,1,,,1,,,,,Yes,No,,Retired,Female,English,65-69 years,65
6404,At least once a day,30,Never,0,,,,,1,,,,No,Yes,,Retired,Male,Russian,65-69 years,65
6405,At least once a day,30,At least once a month,1,,1,,,,,,,No,Yes,,,Male,Portuguese,Less than 54 years,54
6406,At least once a day,30,At least once a month,1,1,,,1,,,,,No,No,,Retired,Female,French,70-74 years,70
6407,At least once a day,30,Never,0,1,1,,,,,,,,Yes,,Retired,Female,Chinese (Mandarin),70-74 years,70
6408,At least once a day,30,At least once a month,1,1,1,1,,,,,,No,,,,,,,
6409,At least a few times each week,8,At least once a day,30,,1,1,,,,,,Yes,,,Employed part-time,Female,English,60-64 years,60
6410,,,,,,,,,,,,,,,,,,,,
6411,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,,Retired,Female,,80-84 years,80
6412,At least a few times each week,8,At least once a week,4,1,,,1,,,,,No,Yes,,Retired,Female,,80-84 years,80
6413,At least once a day,30,Never,0,1,,1,,,,,1,Yes,No,,"Unemployed, looking for work",Female,English,60-64 years,60
6414,At least once a day,30,At least a few times a week,8,1,,,,,,,1,No,Yes,,Retired,Female,English,75-79 years,75
6415,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,,Retired,Female,English,70-74 years,70
6416,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,,,,,,,
6417,At least once a day,30,At least once a week,4,,,1,,,,,,,Yes,,Retired,Male,Vietnamese,75-79 years,75
6418,At least once a week,4,At least once a month,1,1,,,,,,,,Yes,Yes,,Retired,Female,Vietnamese,75-79 years,75
6419,At least once a month,1,At least once a month,1,1,,,,,,,,No,Yes,,Retired,Male,Vietnamese,80-84 years,80
6420,At least once a week,4,At least once a week,4,,,1,,,,,,No,Yes,,Retired,Male,Vietnamese,75-79 years,75
6421,At least once a week,4,At least once a month,1,1,,,,,,,,Yes,Yes,,Retired,Female,Vietnamese,75-79 years,75
6422,At least once a week,4,At least once a week,4,1,,,,,,,,Yes,,,Retired,Female,Vietnamese,80-84 years,80
6423,At least once a month,1,At least once a month,1,1,,,,,,,,No,Yes,,Retired,Male,,75-79 years,75
6424,At least once a month,1,At least once a week,4,1,,,,,,,,Yes,Yes,,Retired,Female,,80-84 years,80
6425,At least once a day,30,At least once a month,1,1,,,,,,,,Yes,,,Retired,Female,Vietnamese,,
6426,At least a few times each week,8,At least once a week,4,1,,,,,,,,Yes,Yes,,Retired,Female,Vietnamese,80-84 years,80
6427,At least a few times each week,8,At least once a month,1,1,,,,,,,,No,Yes,,Retired,Female,Vietnamese,80-84 years,80
6428,At least once a month,1,At least once a month,1,1,,,,,,,,Yes,Yes,,Retired,Female,Vietnamese,75-79 years,75
6429,At least once a week,4,At least once a week,4,1,,,,,,,,Yes,Yes,,Retired,Female,Vietnamese,75-79 years,75
6430,At least a few times each week,8,At least once a month,1,1,,,,,,,,Yes,Yes,,Retired,Female,Vietnamese,80-84 years,80
6431,At least a few times each week,8,Never,0,1,,1,,,,,,No,No,,,Female,English,70-74 years,70
6432,At least once a day,30,Never,0,,1,,,,,,,Yes,,,,,English,65-69 years,65
6433,Never,0,Never,0,1,,,,,,,,Yes,No,,Retired,Female,Chinese (Mandarin),80-84 years,80
6434,At least a few times each week,8,At least once a month,1,1,,1,,,,,,No,Yes,,Retired,Female,,85 years or older,85
6435,At least once a day,30,Never,0,1,1,1,,,,,1,Yes,Yes,,"Unemployed, looking for work",Male,,60-64 years,60
6436,At least once a day,30,At least a few times a week,8,,,1,,,,,1,No,Yes,,Retired,Female,,80-84 years,80
6437,At least once a day,30,Never,0,1,1,,,,,,,Yes,No,,,,Chinese (Mandarin),70-74 years,70
6438,At least once a day,30,At least a few times a week,8,1,1,,1,,,,,Yes,No,,,,Chinese (Mandarin),65-69 years,65
6439,At least once a day,30,At least once a week,4,1,,,,,,,,No,Yes,,Retired,Female,Chinese (Cantonese),65-69 years,65
6440,At least a few times each week,8,Never,0,1,1,,,,,,,No,No,,Retired,Female,,60-64 years,60
6441,At least a few times each week,8,At least once a month,1,1,1,,,,,,,No,No,,Retired,Female,,65-69 years,65
6442,,,At least once a day,30,1,,,,,,,,,,,Retired,Female,,70-74 years,70
6443,At least once a day,30,Never,0,,1,,,,,,,No,Yes,,Unable to work for health or other reasons,Female,Chinese (Mandarin),75-79 years,75
6444,At least once a day,30,Never,0,,1,,,,,,1,,Yes,,Unable to work for health or other reasons,Female,Chinese (Mandarin),75-79 years,75
6445,At least a few times each week,8,At least once a day,30,1,1,,1,,,,1,Yes,Yes,,Unable to work for health or other reasons,Female,Chinese (Mandarin),75-79 years,75
6446,At least once a day,30,At least a few times a week,8,,1,,,,,,,No,Yes,,Unable to work for health or other reasons,Female,Chinese (Mandarin),65-69 years,65
6447,At least a few times each week,8,Never,0,1,,1,,,,,,No,,,,Male,,65-69 years,65
6448,At least once a day,30,At least a few times a week,8,1,1,,,,,,,No,,,,,,,
6449,At least a few times each week,8,At least once a month,1,1,,,,,,,,,Yes,,,,,,
6450,Never,0,At least once a week,4,,,1,,,,,,No,,,Employed part-time,Female,,Less than 54 years,54
6451,At least once a week,4,Never,0,1,1,1,,1,,,1,No,Yes,,Employed part-time,Male,,Less than 54 years,54
6452,At least once a day,30,Never,0,,,,,1,,,,No,Yes,,Retired,Female,,65-69 years,65
6453,At least once a day,30,Never,0,,,1,,,,,,No,,,,Male,,Less than 54 years,54
6454,At least once a month,1,At least once a week,4,1,,,,,,,,,No,,Retired,Male,English,75-79 years,75
6455,At least a few times each week,8,,,,1,1,,,,,,,,,,,English,,
6456,At least once a day,30,At least once a week,4,1,1,,,,,,,No,Yes,,Retired,Male,,85 years or older,85
6457,At least once a day,30,Never,0,1,,,,,,,,,Yes,,Retired,Female,,80-84 years,80
6458,Never,0,Never,0,1,,,,,,,,No,Yes,,Retired,Male,English,80-84 years,80
6459,At least once a day,30,Never,0,,,,,,,1,,Yes,Yes,,Retired,Female,English,85 years or older,85
6460,At least a few times each week,8,At least a few times a week,8,1,1,1,,,,,,No,Yes,,Retired,Female,English,60-64 years,60
6461,At least once a day,30,Never,0,1,,1,,,,,,No,Yes,,Retired,Female,English,70-74 years,70
6462,At least a few times each week,8,At least a few times a week,8,1,1,,1,,,,,No,Yes,,,Female,English,70-74 years,70
6463,At least once a day,30,At least once a month,1,1,1,1,1,,,,,No,Yes,,Unable to work for health or other reasons,Female,English,Less than 54 years,54
6464,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,,Retired,Female,English,65-69 years,65
6465,At least once a day,30,Never,0,1,1,1,,,,,,No,No,,Retired,Female,English,70-74 years,70
6466,At least once a day,30,At least a few times a week,8,,,1,,,,,,Yes,Yes,,Employed part-time,Female,English,Less than 54 years,54
6467,At least once a day,30,At least a few times a week,8,,1,,,,,,,No,Yes,,Retired,Female,English,75-79 years,75
6468,At least a few times each week,8,At least a few times a week,8,,,,,,,1,,No,Yes,,Retired,Female,English,85 years or older,85
6469,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,No,,,,,English,70-74 years,70
6470,At least once a day,30,Never,0,,,,,,,1,,No,,,,,French,85 years or older,85
6471,At least once a day,30,Never,0,,1,,,,,,,No,Yes,,Unable to work for health or other reasons,Male,English,55-59 years,55
6472,At least once a day,30,Never,0,1,,1,,,,,,No,Yes,,Employed full-time,Female,,75-79 years,75
6473,At least a few times each week,8,,,1,,,,,,,,,,,,,Serbian,,
6474,At least a few times each week,8,At least once a week,4,1,,,,,,,,No,Yes,,Retired,Female,English,80-84 years,80
6475,At least once a day,30,Never,0,1,,,,,,,,Yes,,,Retired,Female,English,65-69 years,65
6476,At least once a day,30,At least once a day,30,1,1,,,1,,,,No,,,,Female,,Less than 54 years,54
6477,At least once a day,30,At least once a month,1,1,,,,,,,,No,Yes,,Retired,Female,,60-64 years,60
6478,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,,Employed full-time,Male,,Less than 54 years,54
6479,At least once a day,30,At least once a week,4,1,,,,,,,,,Yes,,Retired,Female,,70-74 years,70
6480,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,,Employed full-time,Female,English,Less than 54 years,54
6481,At least once a week,4,At least once a day,30,,,1,,,,,,No,,,Employed full-time,Male,English,65-69 years,65
6482,At least once a day,30,Never,0,1,1,1,,,,,,,,,Employed part-time,Male,English,70-74 years,70
6483,Never,0,Never,0,,,,,,,,1,No,Yes,,Retired,Male,English,75-79 years,75
6484,At least once a day,30,Never,0,1,,,,,,1,,No,Yes,,Retired,Female,,75-79 years,75
6485,At least once a day,30,At least once a day,30,1,1,1,,,,,,No,Yes,,Retired,Female,Italian,80-84 years,80
6486,At least a few times each week,8,At least a few times a week,8,1,1,1,,1,,,,No,Yes,,Employed full-time,Female,Italian,Less than 54 years,54
6487,At least once a week,4,At least once a month,1,,,1,,,,,,No,No,,Retired,Female,,60-64 years,60
6488,At least once a day,30,Never,0,,,1,,,,,,No,Yes,,Retired,Male,English,75-79 years,75
6489,At least a few times each week,8,At least once a month,1,,1,1,,,,,,No,Yes,,Retired,Female,English,,
6490,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,,Employed full-time,Male,English,55-59 years,55
6491,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,,Employed full-time,Transgender,English,85 years or older,85
6492,At least a few times each week,8,,,1,1,1,,,,,,No,Yes,,Employed full-time,Female,English,Less than 54 years,54
6493,At least once a day,30,At least a few times a week,8,1,1,,,,,,,No,No,,Employed part-time,Male,English,60-64 years,60
6494,At least once a day,30,Never,0,1,1,,1,,,,,No,No,,Employed full-time,Male,English,70-74 years,70
6495,At least a few times each week,8,At least a few times a week,8,1,1,1,,,,,,No,No,,Retired,Transgender,English,65-69 years,65
6496,Never,0,Never,0,,1,,,1,,1,1,No,Yes,,Retired,Male,English,75-79 years,75
6497,At least once a day,30,Never,0,1,,1,,,,,,Yes,No,,Employed part-time,Female,English,65-69 years,65
6498,At least once a week,4,Never,0,,1,1,,,,,,No,No,,Retired,Female,English,80-84 years,80
6499,At least a few times each week,8,Never,0,,,1,,1,,,1,No,Yes,,Retired,Female,,75-79 years,75
6500,At least once a day,30,At least once a month,1,,,1,,,,,,No,No,,Retired,Female,English,65-69 years,65
6501,At least a few times each week,8,At least once a week,4,1,,1,,,,,,No,Yes,,Retired,Female,English,65-69 years,65
6502,At least once a day,30,Never,0,,1,,,,,,1,No,Yes,,Retired,Female,English,60-64 years,60
6503,At least once a day,30,At least once a month,1,1,1,1,1,,,,,Yes,Yes,,Retired,Transgender,English,75-79 years,75
6504,At least once a week,4,Never,0,1,,,,1,,1,,No,No,,Unable to work for health or other reasons,Female,English,Less than 54 years,54
6505,At least once a day,30,At least once a week,4,1,1,,1,,,,,No,Yes,,Retired,Transgender,French,60-64 years,60
6506,At least once a day,30,At least once a week,4,1,1,,1,,,,,No,Yes,,Retired,Female,English,65-69 years,65
6507,At least once a day,30,Never,0,1,1,,1,,,,,No,Yes,,Retired,Female,English,75-79 years,75
6508,At least once a day,30,Never,0,1,1,,1,,,,,No,Yes,,Retired,Male,English,70-74 years,70
6509,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,,Retired,Male,English,65-69 years,65
6510,At least once a day,30,Never,0,1,,,,,,,,Yes,No,,Retired,Female,Polish,65-69 years,65
6511,At least once a day,30,Never,0,1,,1,,,,,,Yes,Yes,,Retired,Female,English,75-79 years,75
6512,At least once a week,4,At least once a week,4,1,1,1,,,,,,No,Yes,,Retired,Male,Chinese (Mandarin),65-69 years,65
6513,At least once a day,30,Never,0,1,,1,,,,,,No,No,,Retired,Transgender,English,80-84 years,80
6514,At least once a day,30,Never,0,,,1,,,,,,No,Yes,,Retired,Female,Italian,70-74 years,70
6515,At least once a day,30,At least once a day,30,,1,1,,,,,,No,Yes,,,Female,English,55-59 years,55
6516,At least once a month,1,Never,0,,,,,,,,1,No,Yes,,Retired,Female,Chinese (Cantonese),75-79 years,75
6517,At least once a day,30,At least once a day,30,,,1,,,,,,No,Yes,,Retired,,,,
6518,At least once a day,30,At least a few times a week,8,1,1,,,,,,1,No,Yes,,Retired,Female,Chinese (Cantonese),70-74 years,70
6519,At least once a day,30,Never,0,,,,,,,,,No,Yes,,Unable to work for health or other reasons,,,65-69 years,65
6520,At least a few times each week,8,,,1,,,,,,,,,Yes,,Retired,Female,,65-69 years,65
6521,At least a few times each week,8,Never,0,1,,,,,,,,Yes,Yes,,,,,,
6522,At least once a week,4,At least once a week,4,1,,,,,,,,No,,,,Female,,60-64 years,60
6523,At least once a week,4,At least once a week,4,,,,,,,,,,,,,,,,
6524,,,At least once a month,1,1,1,,,,,,,Yes,Yes,,Employed full-time,Female,,60-64 years,60
6525,At least once a day,30,At least a few times a week,8,1,1,,,,,,,Yes,Yes,,Employed full-time,Female,,Less than 54 years,54
6526,At least once a day,30,Never,0,,1,,,,,,,No,No,,Retired,Female,Hungarian,80-84 years,80
6527,At least once a day,30,At least once a day,30,1,1,1,,1,,,,,Yes,,Retired,Male,,,
6528,At least once a week,4,Never,0,,1,,,,,,,No,,,,,,,
6529,At least once a day,30,Never,0,,1,1,,,,,1,Yes,Yes,,,,English,,
6530,At least once a day,30,,,,1,1,1,,,,,No,Yes,,Retired,Female,English,65-69 years,65
6531,At least once a day,30,Never,0,,1,,,,,,,Yes,No,,Employed full-time,Male,English,Less than 54 years,54
6532,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,,Retired,Transgender,Other,75-79 years,75
6533,At least once a day,30,At least once a week,4,1,1,1,1,,,,,,,,,,,,
6534,At least once a month,1,Never,0,1,1,,,,,,1,No,Yes,,Retired,Female,English,85 years or older,85
6535,At least once a day,30,Never,0,1,,,,,,,,No,Yes,,Retired,Male,English,75-79 years,75
6536,At least once a day,30,Never,0,,1,,,,,,,No,Yes,,,Male,English,80-84 years,80
6537,At least once a day,30,At least once a week,4,,1,,,,,,,No,Yes,,Retired,Male,Spanish,60-64 years,60
6538,At least a few times each week,8,At least a few times a week,8,1,1,,1,,,,,No,Yes,,Employed part-time,Male,English,70-74 years,70
6539,At least once a day,30,At least once a month,1,1,1,,,,,,,No,Yes,,Retired,Female,English,70-74 years,70
6540,At least once a day,30,Never,0,1,,,,,,,,No,Yes,,Retired,Female,Spanish,65-69 years,65
6541,At least once a day,30,Never,0,1,1,,,1,,,,No,Yes,,Retired,Male,English,80-84 years,80
6542,At least once a day,30,Never,0,1,,,,,,,,No,Yes,,Retired,Female,English,65-69 years,65
6543,At least a few times each week,8,At least once a week,4,,,1,,,,,,Yes,Yes,,Employed part-time,Female,English,Less than 54 years,54
6544,At least a few times each week,8,At least once a week,4,,,,,,,,,No,,,Retired,Female,,80-84 years,80
6545,At least once a day,30,At least once a month,1,1,1,,1,,1,,,No,,,Retired,Male,,65-69 years,65
6546,Never,0,,,,,,,,,,,,,,,,,,
6547,Never,0,Never,0,,,,,,,,1,Yes,No,,Retired,Female,,55-59 years,55
6548,,,At least once a day,30,1,1,,,,,,,Yes,Yes,,"Unemployed, looking for work",Female,,65-69 years,65
6549,,,At least once a month,1,1,1,1,1,,,,,No,Yes,,Employed full-time,Female,French,Less than 54 years,54
6550,At least a few times each week,8,Never,0,,,1,,,,1,,No,Yes,,Unable to work for health or other reasons,Female,Do not know,80-84 years,80
6551,At least a few times each week,8,Never,0,,,,,,,,1,No,Yes,,Retired,Female,English,75-79 years,75
6552,,,Never,0,,,,,,1,1,,,Yes,,Retired,Female,English,85 years or older,85
6553,At least once a day,30,Never,0,1,,,,,,,,Yes,Yes,,Retired,Male,Portuguese,60-64 years,60
6554,,,At least a few times a week,8,1,1,,,,,,,Yes,Yes,,Unable to work for health or other reasons,Female,,55-59 years,55
6555,At least a few times each week,8,At least once a month,1,1,1,1,,,,,,No,Yes,,Retired,Female,,65-69 years,65
6556,At least once a day,30,Never,0,1,,,,,,,,No,Yes,,Retired,Female,,70-74 years,70
6557,At least once a day,30,At least a few times a week,8,1,,,,,,,,No,Yes,,Retired,Female,,75-79 years,75
6558,At least once a day,30,Never,0,1,1,1,1,,,1,1,Yes,Yes,,Retired,Male,Tamil,55-59 years,55
6559,At least once a week,4,At least once a week,4,,,,,,,,,No,No,,Retired,Female,,80-84 years,80
6560,At least once a day,30,,,,,,,1,,,,,,,,,English,85 years or older,85
6561,At least once a day,30,Never,0,1,,,,,,,,No,Yes,,Retired,Male,French,70-74 years,70
6562,At least a few times each week,8,Never,0,1,1,,,,,1,1,No,Yes,,Retired,Female,English,75-79 years,75
6563,At least a few times each week,8,Never,0,,1,1,,,,1,,No,Yes,,Retired,Female,English,80-84 years,80
6564,At least once a day,30,At least a few times a week,8,,,,,,,,,Yes,Yes,,Retired,Male,English,85 years or older,85
6565,,,Never,0,,,,,,,1,,No,Yes,,Retired,Female,English,60-64 years,60
6566,Never,0,Never,0,1,,,,,,,,No,Yes,,Retired,Male,English,70-74 years,70
6567,At least once a day,30,Never,0,1,1,,,,,,,Yes,Yes,,Retired,Female,,70-74 years,70
6568,At least once a day,30,Never,0,1,1,,,,,,,No,No,,Employed full-time,Female,English,55-59 years,55
6569,At least once a day,30,Never,0,1,1,,,,,,,Yes,Yes,,Employed full-time,Female,English,60-64 years,60
6570,At least a few times each week,8,At least once a week,4,1,1,,,,,,,,No,,Retired,Female,English,70-74 years,70
6571,At least once a day,30,Never,0,1,,,,,,,1,Yes,Yes,,"Unemployed, looking for work",Female,Arabic,60-64 years,60
6572,At least once a day,30,At least once a day,30,1,,,,,,,,No,Yes,,Retired,Female,Other,55-59 years,55
6573,At least once a day,30,Never,0,1,,,,,,,,No,Yes,,Retired,Female,Other,55-59 years,55
